alpha,res1,res2,res3,res4
0.5757575757575758,0.9412014432378152,0.9042577720473548,0.8619937299681573,0.8139397950382297
0.5858585858585859,0.9411773748159785,0.9039771390259753,0.8612974688403656,0.8126593202975156
0.5959595959595959,0.9411860021466891,0.9037415221273917,0.8606570945745486,0.811444733737921
0.6060606060606061,0.9412271261114906,0.9035505718812339,0.8600721264929877,0.8102954743675204
0.6161616161616161,0.9413005429315104,0.9034039304158459,0.8595420704468852,0.8092109600636324
0.6262626262626263,0.9414060443470195,0.9033012318903071,0.859066419578684,0.8081905887000946
0.6363636363636364,0.9415434177981746,0.9032421029274523,0.8586446550870097,0.8072337392882544
0.6464646464646465,0.9417124466066185,0.9032261630468734,0.8582762469919294,0.8063397731272122
0.6565656565656566,0.9419129101576207,0.9032530250969136,0.8579606548983175,0.8055080349589783
0.6666666666666666,0.9421445840824583,0.9033222956847167,0.857697328755208,0.804737854124365
0.6767676767676768,0.9424072404407291,0.9034335756034261,0.8574857096091298,0.8040285457156177
0.6868686868686869,0.9427006479023152,0.9035864602556772,0.8573252303495262,0.8033794117219765
0.696969696969697,0.9430245719287119,0.9037805400725739,0.8572153164444807,0.8027897421645808
0.7070707070707071,0.9433787749534561,0.9040154009273776,0.8571553866650926,0.8022588162173485
0.7171717171717171,0.9437630165613918,0.9042906245432059,0.8571448537969686,0.8017859033106965
0.7272727272727273,0.9441770536665272,0.9046057888940606,0.8571831253374212,0.8013702642152114
0.7373737373737373,0.9446206406882484,0.9049604685985793,0.8572696041770924,0.8010111521026257
0.7474747474747475,0.9450935297256617,0.9053542353059385,0.8574036892648453,0.8007078135817038
0.7575757575757576,0.9455954707298563,0.9057866580733924,0.8575847762548922,0.8004594897068852
0.7676767676767676,0.9461262116738824,0.906257303734981,0.8578122581352482,0.8002654169577884
0.7777777777777778,0.9466854987202643,0.9067657372609861,0.8580855258367209,0.8001248281879128
0.7878787878787878,0.9472730763858638,0.9073115221077664,0.8584039688217626,0.8000369535411129
0.797979797979798,0.9478886877039382,0.9078942205576461,0.8587669756526233,0.8000010213346587
0.8080808080808081,0.9485320743832382,0.9085133940485772,0.8591739345383517,0.8000162589079005
0.8181818181818182,0.9492029769640086,0.9091686034933424,0.8596242338602966,0.8000818934357844
0.8282828282828283,0.9499011349707641,0.9098594095881034,0.860117262675856,0.8001971527066553
0.8383838383838383,0.9506262870617265,0.9105853731101449,0.860652411200316,0.8003612658639765
0.8484848484848485,0.95137817117482,0.9113460552046995,0.861229071266713,0.8005734641117767
0.8585858585858586,0.9521565246701323,0.9121410176607783,0.8618466367637266,0.8008329813837969
0.8686868686868687,0.9529610844687624,0.9129698231759664,0.862504504051694,0.8011390549764645
0.8787878787878788,0.9537915871879837,0.9138320356101761,0.8632020723569042,0.8014909261459656
0.8888888888888888,0.954647769272667,0.9147272202283789,0.8639387441443958,0.8018878406698113
0.898989898989899,0.9555293671229087,0.9156549439323718,0.8647139254695391,0.8023290493734154
0.9090909090909091,0.9564361172178315,0.9166147754816564,0.8655270263087406,0.8028138086223
0.9191919191919192,0.9573677562355236,0.9176062857035343,0.8663774608696533,0.8033413807806441
0.9292929292929293,0.9583240211690974,0.9186290476925487,0.8672646478813173,0.8039110346369653
0.9393939393939394,0.959304649438858,0.9196826369994192,0.8681880108646994,0.804522045797805
0.9494949494949495,0.9603093790005717,0.9207666318096397,0.869146978384126,0.8051736970503348
0.9595959595959596,0.9613379484498474,0.9218806131119236,0.8701409842801341,0.8058652786948677
0.9696969696969697,0.9623900971226346,0.9230241648566984,0.8711694678842923,0.806596088848286
0.9797979797979798,0.9634655651918613,0.9241968741048627,0.8722318742165591,0.8073654337194378
0.98989898989899,0.964564093760235,0.9253983311670371,0.8733276541657636,0.8081726278575784
1.0,0.965685424949238,0.9266281297335398,0.8744562646538028,0.8090169943749475
